ID	Nom
77	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1055
78	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1066
79	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1070
80	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1073
81	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1078
82	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1085
83	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1088
84	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1089
85	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1093
86	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1096
87	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1099
88	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1107
89	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1109
90	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1112
91	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1116
92	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1117
93	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1118
94	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1121
95	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1122
96	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1126
97	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1127
98	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1130
99	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1134
100	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1140
101	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1143
102	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1144
103	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1146
104	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1147
105	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1148
106	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1150
107	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1151
108	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1152
109	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1158
110	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1170
111	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1181
112	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1183
113	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1186
114	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1191
115	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1196
116	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1197
117	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1198
118	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1202
119	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1207
120	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1211
121	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1216
122	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1218
123	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1220
124	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1221
125	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1222
126	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1223
127	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1480
128	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1484
129	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1497
130	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1500
131	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1502
132	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1506
133	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1527
134	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1535
135	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1536
136	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1542
137	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1548
138	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1550
139	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1553
140	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1562
141	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1564
142	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1574
143	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1578
144	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1599
145	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1600
146	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1601
147	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1610
148	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1612
149	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1620
150	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1622
151	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1647
152	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1007
153	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1010
154	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1012
155	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1016
156	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1018
157	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1033
158	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1046
159	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1049
160	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1057
161	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1063
162	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1069
163	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1082
164	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1083
165	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1087
166	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1120
167	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1124
168	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1135
169	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1201
170	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1217
171	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1482
172	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1518
173	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1526
174	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1538
175	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1580
176	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1613
177	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1614
178	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1615
179	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1619
180	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1028
181	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1035
182	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1047
183	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1053
184	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1059
185	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1072
186	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1086
187	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1106
188	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1129
189	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1154
190	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1155
191	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1168
192	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1173
193	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1177
194	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1203
195	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1204
196	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1559
197	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1569
198	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1609
199	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1002
200	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1011
201	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1020
202	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1022
203	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1029
204	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1030
205	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1041
206	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1048
207	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1052
208	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1537
209	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1567
210	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1485
211	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1486
212	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1487
213	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1488
214	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1489
215	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1490
216	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1491
217	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1492
218	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1493
219	http://d3fend.mitre.org/ontologies//var/www/html/ADG/d3fend.owl#T1494
